"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.20664094367316,0.499323355387218,-0.943563883487384,1.84510742458908,-0.41612896344975,-1.34233412439141,-0.221615208544546,-0.707621763209314
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",2,-3.59768682774707,-0.181947665603065,-0.72570576191319,1.32797058695648,0.314357486524239,-0.665393130301242,-0.13383091371838,-0.853336454683993
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",3,-1.27980534501819,-0.852192433947773,-0.676876341735233,1.63776285870047,0.787012893459492,-0.329316081717953,0.173661707964851,-1.32921093561068
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",4,1.04933069115551,-1.04975422484625,-0.730285249575737,1.0366988423101,1.13221100646791,0.257660733037886,-0.18370574199215,-1.36377944062874
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",5,4.06033439804154,0.0250094342331201,-0.278123461458103,0.390606034924864,0.965184638173064,-0.59721538728522,-0.662327219522848,-1.26156559491009
"cntucke2","CSC226-001-STADDON-S16","Ensemble_Delay",6,4.63081459502282,0.326558922703845,-0.251703455499658,-0.0882518290680952,1.15814699073423,-0.550051385945254,-0.768515045665229,-1.41160193712878
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",1,-5.34729339290615,-1.17544176134895,-0.0124633573969383,-2.84241160934494,-2.43532749484125,-0.94446320270955,-0.605543131012753,0.670931173227378
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.81647398781579,-1.70069943356581,0.420186562731819,-2.63649159911105,-1.84718528810797,-0.400521052230082,-0.451210536635547,0.456026451662897
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.2230812420656,-1.41840518361095,0.352689578940777,-1.86194477551782,-1.26863376668168,0.0503749825879271,-0.262004773297376,0.262556731165286
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",4,-2.50850448187968,-1.08867083738614,0.956071971253204,-2.37084028602324,-1.56148126946741,0.154834310494876,-0.264768280434595,0.213975865704796
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",5,-1.8615873214477,-1.23220931510728,1.03271799969968,-2.8309594816775,-1.50157258327495,0.236642380201905,-0.283068128398128,0.155864383454908
"nabruins","CSC226-001-STADDON-S16","Ensemble_Delay",6,-1.06299669733455,-1.17086345071403,1.33935658321817,-2.72913668378679,-1.54752003157118,0.408377979554465,-0.316622585287635,0.192314018528517
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.88344617464318,2.6340932483752,2.42517633503808,1.68105609583315,-1.50515169697511,1.33751344023357,-0.204900915403016,0.231356443036302
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.5555334782619,2.53177879322508,0.66649246885783,0.780418752567044,-2.31445725117935,-0.219547811930446,-0.203631898167424,-0.360601503091135
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",3,-0.255418053545607,0.40813340607109,-0.313605630784025,0.260254500723808,-2.03476372489132,-0.204124636470622,0.519455371548827,-0.819332126618427
"sfang3","CSC226-001-STADDON-S16","Ensemble_Delay",4,0.914452449258894,0.479744466456747,-0.678981009628465,-0.76149287693755,-2.3890706998997,-0.133205243878892,0.632585756781103,-1.10693595405167
